page,x,y,word,word_index,timestamp
0,1920,0,0,,0
0,992,188.7,0,,905682
0,992,188.7,0,,905682
0,990.8,186.5,0,,905697
0,991.1,186.8,0,,905711
0,991.1,186.8,0,,905711
0,991.1,187.8,0,,905728
0,997.5,188.1,0,,905757
0,996,191.9,0,,905772
0,997.2,192.3,0,,905787
0,997.6,201.6,0,,905801
0,999.4,197.7,0,,905817
0,996.9,204.2,0,,905846
0,994.5,206.4,0,,905862
0,995,206.7,0,,905877
0,995,206.7,0,,905877
0,991.3,205.8,0,,905908
0,991.8,205.9,0,,905922
0,991.8,205.9,0,,905922
0,860.1,177.1,0,,905952
0,758.2,154.8,0,,905967
0,294.6,-17.4,0,,905996
0,219.2,-56.4,0,,906012
0,179.8,-67.7,0,,906028
0,179.8,-67.7,0,,906028
0,76.4,-113.7,0,,906061
0,88.1,-97,0,,906073
0,92.2,-53.7,0,,906087
0,85.1,-85.4,0,,906102
0,94.2,-68.6,0,,906116
0,130.9,-1.4,0,,906131
0,50,47.6,0,,906161
0,50,47.6,0,,906161
0,50,47.6,0,,906161
0,1.80005,87.3,0,,906206
0,1.80005,87.3,0,,906206
0,-16.9,79.8,0,,906237
0,-12.8,74.2,0,,906250
0,-12.8,74.2,0,,906250
0,-65.4,76.9,0,,906295
0,-65.4,76.9,0,,906295
0,174.2,210.1,0,,906327
0,174.2,210.1,0,,906327
0,393.2,325.6,0,,906357
0,401.2,335.7,0,,906370
0,464.9,367.3,0,,906383
0,572.1,417.2,0,,906401
0,660.3,458.7,0,,906429
0,737.8,436,0,,906447
0,715.5,358.3,0,,906461
0,734.1,446.3,0,,906474
0,734.1,446.3,0,,906474
0,715,375.7,0,,906507
0,710.2,369.5,0,,906520
0,711.5,312.2,0,,906535
0,707.1,306.6,0,,906551
0,702.5,298.1,0,,906580
0,696.8,300.7,0,,906597
0,696.7,309.7,0,,906610
0,703,312.8,0,,906626
0,703,312.8,0,,906626
0,706.7,324.3,0,,906659
0,703.7,331,0,,906674
0,730,360.7,0,,906690
0,725.5,354.4,0,,906703
0,737.4,370.5,0,,906720
0,749.6,377.3,0,,906748
0,749.6,377.3,0,,906748
0,748,379.3,0,,906767
0,748,379.3,0,,906767
0,752.5,380.6,0,,906807
0,751.2,381.3,0,,906821
0,747,381.4,0,,906835
0,739.7,381.8,0,,906851
0,738.9,384.5,0,,906880
0,738.9,384.5,0,,906880
0,743.5,385.2,0,,906899
0,734.4,384.8,0,,906928
0,734.4,384.8,0,,906928
0,733.9,387.7,0,,906960
0,736.8,386,0,,906973
0,737.1,385.4,0,,906990
0,740.8,386.5,0,,907015
0,742.2,386.5,0,,907031
0,742.4,374.7,0,,907046
0,741.1,372.5,0,,907060
0,745.4,377,0,,907076
0,745.4,377,0,,907076
0,740.4,371.7,0,,907106
0,742.1,373.5,0,,907121
0,739.2,380.9,0,,907136
0,733.6,383.8,0,,907150
0,719.8,393.4,0,,907181
0,704.8,391.6,0,,907195
0,703.2,398,0,,907212
0,621.9,393.6,0,,907226
0,621.9,393.6,0,,907226
0,614,397.6,0,,907256
0,508.1,409.9,0,,907271
0,505.6,411.6,0,,907285
0,505.6,411.6,0,,907285
0,507.3,407,0,,907320
0,513.9,409.1,0,,907333
1,515.9,410.8,0,,907366
1,513.9,409.3,0,,907379
1,513.9,409.3,0,,907379
1,512.7,413,0,,907413
1,511.2,413.7,0,,907424
1,510.3,413.6,0,,907436
1,497.3,396.2,0,,907465
1,518.1,394.1,0,,907481
1,514.2,390.5,0,,907496
1,508.9,388.2,0,,907511
1,511.4,386.4,0,,907530
1,511.4,386.4,0,,907530
1,511.2,384.2,0,,907559
1,506.8,383.1,0,,907574
1,506.8,383.1,0,,907574
1,421.1,376.8,0,,907603
1,440.8,379,0,,907617
1,287.5,379.2,0,,907646
1,287.5,379.2,0,,907646
1,287.5,379.2,0,,907646
1,287.5,379.2,0,,907646
1,287.5,379.2,0,,907646
1,210.8,387.9,0,,907722
1,210.1,389.7,0,,907736
1,209.9,390.3,0,,907752
1,202.9,407.2,0,,907781
1,199,383.7,0,,907797
1,200.5,386.2,0,,907812
1,208.9,395.1,0,,907826
1,208.9,395.1,0,,907826
1,215.3,401.1,0,,907858
1,217.1,403.7,0,,907871
1,212.6,398.2,0,,907887
1,226.1,407.4,0,,907916
1,204.1,393.8,0,,907932
1,206.5,394.7,0,,907947
1,218.9,401.8,0,,907961
1,230.3,391.8,0,,907977
1,230.3,391.8,0,,907977
1,235,395.3,0,,908011
1,246.2,402.8,0,,908026
1,250,400.7,0,,908040
1,264.7,407.3,0,,908066
1,269.3,404.9,0,,908080
1,272,403.1,0,,908095
1,264.3,402.9,0,,908111
1,268.1,401.5,0,,908126
1,268.1,401.5,0,,908126
1,263.7,395.3,0,,908157
1,272.8,395.7,0,,908171
1,277,393.2,0,,908189
1,275.5,399.9,0,,908205
1,278.9,399.9,0,,908220
1,273.8,391.8,0,,908234
1,316.2,403.6,0,,908266
1,329.2,405.2,0,,908281
1,329.2,405.2,0,,908281
1,341,402.6,0,,908307
1,340.4,397.1,0,,908320
1,340.4,397.1,0,,908320
1,449.8,403.5,0,,908365
1,449.8,403.5,0,,908365
1,433.7,400.4,0,,908396
1,439.4,399.3,0,,908410
1,455.1,400.9,0,,908430
1,455.1,400.9,0,,908430
1,453.5,402.1,0,,908461
1,457.7,419,0,,908476
1,499.9,417.7,0,,908487
1,542.7,404.5,0,,908516
1,546.7,405.3,0,,908531
1,548.4,407.6,0,,908545
1,547.8,407.8,0,,908561
1,543.8,405.3,0,,908577
1,543.8,405.3,0,,908577
1,542.9,406.6,0,,908607
1,541.2,400,0,,908621
1,541.2,398.4,0,,908635
1,543.1,400.8,0,,908666
1,546.5,402.9,0,,908680
1,546.5,402.9,0,,908680
1,578.3,405.1,0,,908714
1,600.2,405.1,0,,908726
1,600.2,405.1,0,,908726
1,611.1,400.4,0,,908758
1,618.6,400,0,,908771
1,625.3,397.8,0,,908790
1,628.6,393.9,0,,908815
1,627.5,393.3,0,,908831
1,627.7,394.1,0,,908846
1,629.6,395.9,0,,908860
1,644.5,398.3,0,,908880
1,644.5,398.3,0,,908880
1,670.8,401.5,0,,908911
1,693.4,398.6,0,,908927
1,710.8,396.5,0,,908939
1,754.2,395.3,0,,908967
1,775.7,411.3,0,,908982
1,779.6,398.3,0,,908997
1,778.8,403.6,0,,909012
1,779,397.9,0,,909028
1,779,397.9,0,,909028
1,773.7,380.2,0,,909058
1,767.6,383,0,,909072
1,768.2,384.4,0,,909091
1,768.1,384.7,0,,909107
1,782.3,390,0,,909125
1,850.5,407.4,0,,909147
1,857.4,404.4,0,,909162
1,860,402.3,0,,909176
1,860,402.3,0,,909176
1,879.5,401.1,0,,909208
1,884.6,399.2,0,,909221
1,887.4,397.6,0,,909238
1,888.9,396.3,0,,909265
1,899,390.4,0,,909281
1,900.1,388.2,0,,909295
1,899.6,383.7,0,,909310
1,900.4,382.9,0,,909326
1,900.4,382.9,0,,909326
1,899.7,383.3,0,,909356
1,902.3,384.6,0,,909371
1,902.6,384.7,0,,909400
1,900.8,386.5,0,,909416
1,904.5,385.9,0,,909431
1,910,383.9,0,,909445
1,917.4,380.2,0,,909461
1,959.5,390.6,0,,909476
1,959.5,390.6,0,,909476
1,982,393.1,0,,909507
1,996.5,399.3,0,,909521
1,999.6,394,0,,909539
1,1009.1,380.7,0,,909556
1,1013.8,387.4,0,,909584
1,1016.1,387,0,,909595
1,1021.4,383.2,0,,909611
1,1040,369.7,0,,909625
1,1040,369.7,0,,909625
1,1061.4,375.3,0,,909657
1,1065.3,376.7,0,,909670
1,1114.3,378.7,0,,909701
1,1115.8,381.3,0,,909715
1,1170.8,393.3,0,,909730
1,1172.3,396.4,0,,909745
1,1168.2,415,0,,909760
1,1171.4,403,0,,909776
