page,x,y,word,index,timestamp
0,982.5,619.3,0,is,8.89837e+08
0,982.5,619.3,0,is,8.89837e+08
0,974.8,621.3,0,is,8.89837e+08
0,974.8,621.3,0,is,8.89837e+08
0,982.3,632.9,0,is,8.89837e+08
0,983.4,633.8,0,is,8.89837e+08
0,979.5,625.7,0,is,8.89837e+08
0,979.5,625.7,0,is,8.89837e+08
0,982.4,632,0,is,8.89837e+08
0,981.7,630.4,0,is,8.89837e+08
0,980.8,624.4,0,is,8.89837e+08
0,983.3,625.8,0,is,8.89838e+08
0,984.2,627,0,is,8.89838e+08
0,986,629.6,0,is,8.89838e+08
0,1029.2,691.6,0,stayed,8.89838e+08
0,1048,719.6,0,stayed,8.89838e+08
0,1048,719.6,0,stayed,8.89838e+08
0,1087.1,796.8,0,It,8.89838e+08
0,1133.2,813.6,0,It,8.89838e+08
0,906.1,546.5,0,tell,8.8984e+08
0,906.1,546.5,0,tell,8.8984e+08
0,896.1,489.5,0,Truth,8.8984e+08
0,890.8,489.8,0,Truth,8.8984e+08
0,890.8,489.8,0,Truth,8.8984e+08
0,890.8,489.8,0,Truth,8.8984e+08
0,890.8,489.8,0,Truth,8.8984e+08
0,890.8,489.8,0,Truth,8.8984e+08
0,890.8,489.8,0,Truth,8.8984e+08
0,890.8,489.8,0,Truth,8.8984e+08
0,775.5,461.1,0,college.,8.8984e+08
0,775.5,461.1,0,college.,8.8984e+08
0,765.6,402.6,0,your,8.8984e+08
0,765.1,398.7,0,your,8.8984e+08
0,763.8,390.5,0,your,8.8984e+08
0,765.9,377.2,0,your,8.8984e+08
0,765.9,377.2,0,your,8.8984e+08
0,764.6,381.4,0,your,8.8984e+08
0,763.2,385.2,0,your,8.8984e+08
0,764,384.7,0,your,8.8984e+08
0,760.4,387.1,0,your,8.8984e+08
0,760.1,388.4,0,your,8.8984e+08
0,760.1,388.4,0,your,8.8984e+08
0,758.8,385.1,0,your,8.8984e+08
0,1032.4,373.7,0,from,8.89841e+08
0,1032.4,376.1,0,from,8.89841e+08
0,1030.3,405.8,0,from,8.89841e+08
0,1030.3,405.8,0,from,8.89841e+08
0,1029,421.6,0,from,8.89841e+08
0,1025.7,477,0,told,,8.89841e+08
0,1025,478.5,0,told,,8.89841e+08
0,1025.1,493.8,0,told,,8.89841e+08
0,1025.1,493.8,0,told,,8.89841e+08
0,1034.5,581.2,0,three,8.89841e+08
0,1046.1,635.9,0,about,8.89841e+08
