page,x,y,word,index,timestamp
0,227.1,468.1,0,in,1.22596e+09
0,229.4,458.6,0,the,1.22596e+09
0,229.4,458.6,0,the,1.22596e+09
0,255.1,409.6,0,am,1.22596e+09
0,262.6,398.4,0,honored,1.22596e+09
0,265.5,395.8,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
0,268.8,393,0,honored,1.22596e+09
